Date & time,Total,Quality,Location
00:00:00 24/03/1993,0.0,83,1361P002
00:00:00 25/03/1993,0.0,83,1361P002
00:00:00 26/03/1993,0.0,83,1361P002
00:00:00 27/03/1993,0.0,83,1361P002
00:00:00 28/03/1993,0.0,83,1361P002
00:00:00 29/03/1993,0.0,83,1361P002
00:00:00 30/03/1993,0.0,83,1361P002
00:00:00 31/03/1993,0.0,83,1361P002
00:00:00 01/04/1993,0.0,83,1361P002
00:00:00 02/04/1993,0.0,83,1361P002
00:00:00 03/04/1993,0.0,83,1361P002
00:00:00 04/04/1993,0.0,83,1361P002
00:00:00 05/04/1993,0.0,83,1361P002
00:00:00 06/04/1993,0.0,83,1361P002
00:00:00 07/04/1993,0.0,83,1361P002
00:00:00 08/04/1993,0.0,83,1361P002
00:00:00 09/04/1993,0.0,83,1361P002
00:00:00 10/04/1993,0.0,83,1361P002
00:00:00 11/04/1993,3.0,83,1361P002
00:00:00 12/04/1993,0.0,83,1361P002
00:00:00 13/04/1993,0.0,83,1361P002
00:00:00 14/04/1993,0.0,83,1361P002
00:00:00 15/04/1993,0.0,83,1361P002
00:00:00 16/04/1993,0.0,83,1361P002
00:00:00 17/04/1993,1.5,83,1361P002
00:00:00 18/04/1993,0.0,83,1361P002
00:00:00 19/04/1993,1.5,83,1361P002
00:00:00 20/04/1993,0.0,83,1361P002
00:00:00 21/04/1993,0.0,83,1361P002
00:00:00 22/04/1993,0.0,83,1361P002
00:00:00 23/04/1993,0.0,83,1361P002
00:00:00 24/04/1993,13.5,83,1361P002
00:00:00 25/04/1993,1.0,83,1361P002
00:00:00 26/04/1993,0.0,83,1361P002
00:00:00 27/04/1993,0.0,83,1361P002
00:00:00 28/04/1993,0.0,83,1361P002
00:00:00 29/04/1993,0.0,83,1361P002
00:00:00 30/04/1993,0.0,83,1361P002
00:00:00 01/05/1993,0.0,83,1361P002
00:00:00 02/05/1993,0.0,83,1361P002
00:00:00 03/05/1993,0.0,83,1361P002
00:00:00 04/05/1993,0.0,83,1361P002
00:00:00 05/05/1993,0.0,83,1361P002
00:00:00 06/05/1993,0.0,83,1361P002
00:00:00 07/05/1993,0.0,83,1361P002
00:00:00 08/05/1993,0.0,83,1361P002
00:00:00 09/05/1993,4.5,83,1361P002
00:00:00 10/05/1993,0.5,83,1361P002
00:00:00 11/05/1993,0.0,83,1361P002
00:00:00 12/05/1993,3.5,83,1361P002
00:00:00 13/05/1993,38.0,83,1361P002
00:00:00 14/05/1993,0.0,83,1361P002
00:00:00 15/05/1993,0.0,83,1361P002
00:00:00 16/05/1993,0.0,83,1361P002
00:00:00 17/05/1993,0.0,83,1361P002
00:00:00 18/05/1993,0.0,83,1361P002
00:00:00 19/05/1993,0.0,83,1361P002
00:00:00 20/05/1993,0.0,83,1361P002
00:00:00 21/05/1993,4.5,83,1361P002
00:00:00 22/05/1993,0.0,83,1361P002
00:00:00 23/05/1993,0.0,83,1361P002
00:00:00 24/05/1993,0.0,83,1361P002
00:00:00 25/05/1993,0.0,83,1361P002
00:00:00 26/05/1993,0.0,83,1361P002
00:00:00 27/05/1993,2.0,83,1361P002
00:00:00 28/05/1993,1.0,83,1361P002
00:00:00 29/05/1993,3.0,83,1361P002
00:00:00 30/05/1993,1.5,83,1361P002
00:00:00 31/05/1993,6.0,83,1361P002
00:00:00 01/06/1993,3.5,83,1361P002
00:00:00 02/06/1993,13.5,83,1361P002
00:00:00 03/06/1993,1.5,83,1361P002
00:00:00 04/06/1993,0.0,83,1361P002
00:00:00 05/06/1993,0.0,83,1361P002
00:00:00 06/06/1993,0.0,83,1361P002
00:00:00 07/06/1993,0.0,83,1361P002
00:00:00 08/06/1993,0.0,83,1361P002
00:00:00 09/06/1993,0.0,83,1361P002
00:00:00 10/06/1993,0.0,83,1361P002
00:00:00 11/06/1993,0.0,83,1361P002
00:00:00 12/06/1993,0.0,83,1361P002
00:00:00 13/06/1993,0.0,83,1361P002
00:00:00 14/06/1993,0.0,83,1361P002
00:00:00 15/06/1993,0.0,83,1361P002
00:00:00 16/06/1993,0.0,83,1361P002
00:00:00 17/06/1993,0.0,83,1361P002
00:00:00 18/06/1993,0.0,83,1361P002
00:00:00 19/06/1993,0.0,83,1361P002
00:00:00 20/06/1993,0.0,83,1361P002
00:00:00 21/06/1993,0.0,83,1361P002
00:00:00 22/06/1993,0.0,83,1361P002
00:00:00 23/06/1993,0.0,83,1361P002
00:00:00 24/06/1993,0.0,83,1361P002
00:00:00 25/06/1993,0.0,83,1361P002
00:00:00 26/06/1993,0.0,83,1361P002
00:00:00 27/06/1993,0.0,83,1361P002
00:00:00 28/06/1993,0.0,83,1361P002
00:00:00 29/06/1993,0.0,83,1361P002
00:00:00 30/06/1993,0.0,83,1361P002
00:00:00 01/07/1993,0.5,83,1361P002
00:00:00 02/07/1993,0.0,83,1361P002
00:00:00 03/07/1993,0.0,83,1361P002
00:00:00 04/07/1993,0.0,83,1361P002
00:00:00 05/07/1993,0.0,83,1361P002
00:00:00 06/07/1993,0.0,83,1361P002
00:00:00 07/07/1993,4.5,83,1361P002
00:00:00 08/07/1993,3.0,83,1361P002
00:00:00 09/07/1993,3.5,83,1361P002
00:00:00 10/07/1993,107.0,83,1361P002
00:00:00 11/07/1993,49.5,83,1361P002
00:00:00 12/07/1993,0.0,83,1361P002
00:00:00 13/07/1993,0.0,83,1361P002
00:00:00 14/07/1993,0.5,83,1361P002
00:00:00 15/07/1993,0.0,83,1361P002
00:00:00 16/07/1993,0.0,83,1361P002
00:00:00 17/07/1993,0.0,83,1361P002
00:00:00 18/07/1993,0.0,83,1361P002
00:00:00 19/07/1993,0.5,83,1361P002
00:00:00 20/07/1993,0.0,83,1361P002
00:00:00 21/07/1993,0.5,83,1361P002
00:00:00 22/07/1993,3.5,83,1361P002
00:00:00 23/07/1993,1.5,83,1361P002
00:00:00 24/07/1993,0.0,83,1361P002
00:00:00 25/07/1993,0.0,83,1361P002
00:00:00 26/07/1993,0.0,83,1361P002
00:00:00 27/07/1993,0.0,83,1361P002
00:00:00 28/07/1993,0.0,83,1361P002
00:00:00 29/07/1993,0.0,83,1361P002
00:00:00 30/07/1993,0.0,83,1361P002
00:00:00 31/07/1993,0.0,83,1361P002
00:00:00 01/08/1993,0.0,83,1361P002
00:00:00 02/08/1993,0.0,83,1361P002
00:00:00 03/08/1993,0.0,83,1361P002
00:00:00 04/08/1993,0.0,83,1361P002
00:00:00 05/08/1993,0.0,83,1361P002
00:00:00 06/08/1993,0.0,83,1361P002
00:00:00 07/08/1993,0.0,83,1361P002
00:00:00 08/08/1993,0.0,83,1361P002
00:00:00 09/08/1993,0.0,83,1361P002
00:00:00 10/08/1993,0.0,83,1361P002
00:00:00 11/08/1993,0.0,83,1361P002
00:00:00 12/08/1993,0.0,83,1361P002
00:00:00 13/08/1993,0.0,83,1361P002
00:00:00 14/08/1993,0.0,83,1361P002
00:00:00 15/08/1993,0.0,83,1361P002
00:00:00 16/08/1993,0.0,83,1361P002
00:00:00 17/08/1993,0.0,83,1361P002
00:00:00 18/08/1993,0.0,83,1361P002
00:00:00 19/08/1993,0.0,83,1361P002
00:00:00 20/08/1993,0.0,83,1361P002
00:00:00 21/08/1993,0.0,83,1361P002
00:00:00 22/08/1993,0.0,83,1361P002
00:00:00 23/08/1993,0.0,83,1361P002
00:00:00 24/08/1993,6.5,83,1361P002
00:00:00 25/08/1993,0.0,83,1361P002
00:00:00 26/08/1993,2.5,83,1361P002
00:00:00 27/08/1993,0.5,83,1361P002
00:00:00 28/08/1993,5.5,83,1361P002
00:00:00 29/08/1993,67.0,83,1361P002
00:00:00 30/08/1993,17.5,83,1361P002
00:00:00 31/08/1993,0.5,83,1361P002
00:00:00 01/09/1993,2.5,83,1361P002
00:00:00 02/09/1993,11.5,83,1361P002
00:00:00 03/09/1993,0.0,83,1361P002
00:00:00 04/09/1993,0.0,83,1361P002
00:00:00 05/09/1993,0.0,83,1361P002
00:00:00 06/09/1993,0.5,83,1361P002
00:00:00 07/09/1993,0.0,83,1361P002
00:00:00 08/09/1993,0.0,83,1361P002
00:00:00 09/09/1993,0.0,83,1361P002
00:00:00 10/09/1993,0.0,83,1361P002
00:00:00 11/09/1993,0.0,83,1361P002
00:00:00 12/09/1993,0.0,83,1361P002
00:00:00 13/09/1993,4.0,83,1361P002
00:00:00 14/09/1993,20.0,83,1361P002
00:00:00 15/09/1993,0.0,83,1361P002
00:00:00 16/09/1993,0.0,83,1361P002
00:00:00 17/09/1993,0.0,83,1361P002
00:00:00 18/09/1993,0.0,83,1361P002
00:00:00 19/09/1993,0.0,83,1361P002
00:00:00 20/09/1993,0.0,83,1361P002
00:00:00 21/09/1993,0.0,83,1361P002
00:00:00 22/09/1993,0.0,83,1361P002
00:00:00 23/09/1993,46.5,83,1361P002
00:00:00 24/09/1993,0.0,83,1361P002
00:00:00 25/09/1993,0.0,83,1361P002
00:00:00 26/09/1993,0.0,83,1361P002
